8 20 2014, 0, 800, 900, 1,A,FALSE
8 20 2014, 8, 1530, 1630, 1,A,FALSE
8 20 2014, 9, 1630, 1730, 1,A,FALSE
8 20 2014, 0, 800, 900, 2,A,FALSE
8 20 2014, 8, 1530, 1630, 2,A,FALSE
8 20 2014, 9, 1630, 1730, 2,A,FALSE
8 20 2014, 0, 800, 900, 3,A,FALSE
8 20 2014, 8, 1530, 1630, 3,A,FALSE
8 20 2014, 9, 1630, 1730, 3,A,FALSE
8 20 2014, 0, 800, 900, 4,A,FALSE
8 20 2014, 8, 1530, 1630, 4,A,FALSE
8 20 2014, 9, 1630, 1730, 4,A,FALSE
8 20 2014, 0, 800, 900, 5,A,FALSE
8 20 2014, 8, 1530, 1630, 5,A,FALSE
8 20 2014, 9, 1630, 1730, 5,A,FALSE
8 20 2014, 0, 800, 900, 6,A,FALSE
8 20 2014, 8, 1530, 1630, 6,A,FALSE
8 20 2014, 9, 1630, 1730, 6,A,FALSE
8 20 2014, 0, 800, 900, 7,A,FALSE
8 20 2014, 8, 1530, 1630, 7,A,FALSE
8 20 2014, 9, 1630, 1730, 7,A,FALSE
8 20 2014, 0, 800, 900, 8,A,FALSE
8 20 2014, 8, 1530, 1630, 8,A,FALSE
8 20 2014, 9, 1630, 1730, 8,A,FALSE
8 20 2014, 0, 800, 900, 9,A,FALSE
8 20 2014, 8, 1530, 1630, 9,A,FALSE
8 20 2014, 9, 1630, 1730, 9,A,FALSE
8 20 2014, 0, 800, 900, 10,A,FALSE
8 20 2014, 8, 1530, 1630, 10,A,FALSE
8 20 2014, 9, 1630, 1730, 10,A,FALSE
8 20 2014, 0, 800, 900, 11,A,FALSE
8 20 2014, 8, 1530, 1630, 11,A,FALSE
8 20 2014, 9, 1630, 1730, 11,A,FALSE
8 20 2014, 1, 900, 955, 1,A,FALSE
8 20 2014, 1, 900, 955, 2,A,FALSE
8 20 2014, 1, 900, 955, 3,A,FALSE
8 20 2014, 1, 900, 955, 4,A,FALSE
8 20 2014, 1, 900, 955, 5,A,FALSE
8 20 2014, 1, 900, 955, 6,A,FALSE
8 20 2014, 1, 900, 955, 7,A,FALSE
8 20 2014, 1, 900, 955, 8,A,FALSE
8 20 2014, 1, 900, 955, 9,A,FALSE
8 20 2014, 1, 900, 955, 10,A,FALSE
8 20 2014, 1, 900, 955, 11,A,FALSE
8 20 2014, 3, 1000, 1055, 1,A,FALSE
8 20 2014, 3, 1000, 1055, 2,A,FALSE
8 20 2014, 3, 1000, 1055, 3,A,FALSE
8 20 2014, 3, 1000, 1055, 4,A,FALSE
8 20 2014, 3, 1000, 1055, 5,A,FALSE
8 20 2014, 3, 1000, 1055, 6,A,FALSE
8 20 2014, 3, 1000, 1055, 7,A,FALSE
8 20 2014, 3, 1000, 1055, 8,A,FALSE
8 20 2014, 3, 1000, 1055, 9,A,FALSE
8 20 2014, 3, 1000, 1055, 10,A,FALSE
8 20 2014, 3, 1000, 1055, 11,A,FALSE
8 20 2014, 4, 1120, 1230, 1,A,FALSE
8 20 2014, 4, 1120, 1230, 2,A,FALSE
8 20 2014, 4, 1120, 1230, 3,A,FALSE
8 20 2014, 4, 1120, 1230, 4,A,FALSE
8 20 2014, 4, 1120, 1230, 5,A,FALSE
8 20 2014, 4, 1120, 1230, 6,A,FALSE
8 20 2014, 4, 1120, 1230, 7,A,FALSE
8 20 2014, 4, 1120, 1230, 8,A,FALSE
8 20 2014, 4, 1120, 1230, 9,A,FALSE
8 20 2014, 4, 1120, 1230, 10,A,FALSE
8 20 2014, 4, 1120, 1230, 11,A,FALSE
8 20 2014, 10, 1235, 1257, 1,A,FALSE
8 20 2014, 11, 1257, 1320, 1,A,FALSE
8 20 2014, 10, 1235, 1257, 2,A,FALSE
8 20 2014, 11, 1257, 1320, 2,A,FALSE
8 20 2014, 10, 1235, 1257, 3,A,FALSE
8 20 2014, 11, 1257, 1320, 3,A,FALSE
8 20 2014, 10, 1235, 1257, 4,A,FALSE
8 20 2014, 11, 1257, 1320, 4,A,FALSE
8 20 2014, 10, 1235, 1257, 5,A,FALSE
8 20 2014, 11, 1257, 1320, 5,A,FALSE
8 20 2014, 10, 1235, 1257, 6,A,FALSE
8 20 2014, 11, 1257, 1320, 6,A,FALSE
8 20 2014, 10, 1235, 1257, 7,A,FALSE
8 20 2014, 11, 1257, 1320, 7,A,FALSE
8 20 2014, 10, 1235, 1257, 8,A,FALSE
8 20 2014, 11, 1257, 1320, 8,A,FALSE
8 20 2014, 10, 1235, 1257, 9,A,FALSE
8 20 2014, 11, 1257, 1320, 9,A,FALSE
8 20 2014, 10, 1235, 1257, 10,A,FALSE
8 20 2014, 11, 1257, 1320, 10,A,FALSE
8 20 2014, 10, 1235, 1257, 11,A,FALSE
8 20 2014, 11, 1257, 1320, 11,A,FALSE
8 20 2014, 6, 1325, 1420, 1,A,FALSE
8 20 2014, 6, 1325, 1420, 2,A,FALSE
8 20 2014, 6, 1325, 1420, 3,A,FALSE
8 20 2014, 6, 1325, 1420, 4,A,FALSE
8 20 2014, 6, 1325, 1420, 5,A,FALSE
8 20 2014, 6, 1325, 1420, 6,A,FALSE
8 20 2014, 6, 1325, 1420, 7,A,FALSE
8 20 2014, 6, 1325, 1420, 8,A,FALSE
8 20 2014, 6, 1325, 1420, 9,A,FALSE
8 20 2014, 6, 1325, 1420, 10,A,FALSE
8 20 2014, 6, 1325, 1420, 11,A,FALSE
8 20 2014, 7, 1425, 1520, 1,A,FALSE
8 20 2014, 7, 1425, 1520, 2,A,FALSE
8 20 2014, 7, 1425, 1520, 3,A,FALSE
8 20 2014, 7, 1425, 1520, 4,A,FALSE
8 20 2014, 7, 1425, 1520, 5,A,FALSE
8 20 2014, 7, 1425, 1520, 6,A,FALSE
8 20 2014, 7, 1425, 1520, 7,A,FALSE
8 20 2014, 7, 1425, 1520, 8,A,FALSE
8 20 2014, 7, 1425, 1520, 9,A,FALSE
8 20 2014, 7, 1425, 1520, 10,A,FALSE
8 20 2014, 7, 1425, 1520, 11,A,FALSE
8 21 2014, 0, 700, 800, 1,B,FALSE
8 21 2014, 8, 1530, 1630, 1,B,FALSE
8 21 2014, 9, 1630, 1730, 1,B,FALSE
8 21 2014, 0, 700, 800, 2,B,FALSE
8 21 2014, 8, 1530, 1630, 2,B,FALSE
8 21 2014, 9, 1630, 1730, 2,B,FALSE
8 21 2014, 0, 700, 800, 3,B,FALSE
8 21 2014, 8, 1530, 1630, 3,B,FALSE
8 21 2014, 9, 1630, 1730, 3,B,FALSE
8 21 2014, 0, 700, 800, 4,B,FALSE
8 21 2014, 8, 1530, 1630, 4,B,FALSE
8 21 2014, 9, 1630, 1730, 4,B,FALSE
8 21 2014, 0, 700, 800, 5,B,FALSE
8 21 2014, 8, 1530, 1630, 5,B,FALSE
8 21 2014, 9, 1630, 1730, 5,B,FALSE
8 21 2014, 0, 700, 800, 6,B,FALSE
8 21 2014, 8, 1530, 1630, 6,B,FALSE
8 21 2014, 9, 1630, 1730, 6,B,FALSE
8 21 2014, 0, 700, 800, 7,B,FALSE
8 21 2014, 8, 1530, 1630, 7,B,FALSE
8 21 2014, 9, 1630, 1730, 7,B,FALSE
8 21 2014, 0, 700, 800, 8,B,FALSE
8 21 2014, 8, 1530, 1630, 8,B,FALSE
8 21 2014, 9, 1630, 1730, 8,B,FALSE
8 21 2014, 0, 700, 800, 9,B,FALSE
